 2016-08-03 13:37:39,209 [P7444/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on PHIL-PC
 2016-08-03 13:37:41,476 [P7444/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 7ms)
 2016-08-03 13:37:41,476 [P7444/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-08-03 13:37:41,487 [P7444/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 10ms)
 2016-08-03 13:37:45,052 [P7444/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:37:46,032 [P7444/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:37:46,161 [P7444/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:37:46,976 [P7444/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-08-03 13:37:47,027 [P7444/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-08-03 13:37:47,305 [P7444/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-08-03 13:37:47,350 [P7444/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 8380ms)
 2016-08-03 13:37:52,930 [P7444/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50093/umbraco (UmbracoModule request)
 2016-08-03 13:37:53,559 [P7444/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-08-03 13:37:53,683 [P7444/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-08-03 13:38:02,409 [P7444/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-08-03 13:38:02,431 [P7444/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 22ms)
 2016-08-03 13:38:33,791 [P7444/D2/T10] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-08-03 13:38:54,065 [P7444/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-08-02 13:38:53
 2016-08-03 13:38:55,078 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-08-03 13:38:55,095 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 16ms)
 2016-08-03 13:41:25,089 [P7444/D2/T12] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username admin from IP address ::1
 2016-08-03 13:41:25,092 [P7444/D2/T12] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: admin logged in from IP address ::1
 2016-08-03 13:41:25,617 [P7444/D2/T25] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-08-03 13:41:25,626 [P7444/D2/T25] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 8ms)
 2016-08-03 13:41:25,919 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-08-03 13:41:25,935 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 15ms)
 2016-08-03 13:41:26,836 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-08-03 13:41:26,837 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-08-03 13:41:26,934 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-08-03 13:41:26,953 [P7444/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 19ms)
 2016-08-03 13:41:27,671 [P7444/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-08-03 13:41:27,724 [P7444/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 52ms)
 2016-08-03 13:43:58,205 [P4140/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on PHIL-PC
 2016-08-03 13:43:58,264 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-08-03 13:43:58,326 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 62ms)
 2016-08-03 13:43:58,514 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-08-03 13:43:59,574 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1060ms)
 2016-08-03 13:43:59,594 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-08-03 13:43:59,600 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
 2016-08-03 13:43:59,600 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-08-03 13:43:59,606 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 6ms)
 2016-08-03 13:43:59,632 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-08-03 13:43:59,638 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
 2016-08-03 13:43:59,642 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-08-03 13:43:59,654 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 11ms)
 2016-08-03 13:43:59,938 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-08-03 13:43:59,951 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 13ms)
 2016-08-03 13:43:59,952 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-08-03 13:43:59,959 [P4140/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2016-08-03 13:44:02,858 [P4140/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:44:04,758 [P4140/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:44:05,284 [P4140/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:44:06,064 [P4140/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-08-03 13:44:06,080 [P4140/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-08-03 13:44:06,603 [P4140/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-08-03 13:44:06,652 [P4140/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 8582ms)
 2016-08-03 13:44:12,446 [P4140/D2/T5] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50093/back/123/umbraco (UmbracoModule request)
 2016-08-03 13:44:12,924 [P4140/D2/T5] INFO  umbraco.content - Load Xml from file...
 2016-08-03 13:44:12,969 [P4140/D2/T5] INFO  umbraco.content - Loaded Xml from file.
 2016-08-03 13:44:22,504 [P4140/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-08-03 13:44:22,613 [P4140/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 108ms)
 2016-08-03 13:45:58,834 [P7240/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on PHIL-PC
 2016-08-03 13:45:59,331 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-08-03 13:45:59,354 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 22ms)
 2016-08-03 13:45:59,456 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-08-03 13:46:01,076 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1619ms)
 2016-08-03 13:46:01,096 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-08-03 13:46:01,102 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
 2016-08-03 13:46:01,103 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-08-03 13:46:01,110 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 7ms)
 2016-08-03 13:46:01,134 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-08-03 13:46:01,140 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
 2016-08-03 13:46:01,144 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-08-03 13:46:01,151 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 6ms)
 2016-08-03 13:46:01,530 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-08-03 13:46:01,540 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 10ms)
 2016-08-03 13:46:01,542 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-08-03 13:46:01,549 [P7240/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2016-08-03 13:46:04,670 [P7240/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:46:05,672 [P7240/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:46:05,794 [P7240/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:46:06,113 [P7240/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-08-03 13:46:06,135 [P7240/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-08-03 13:46:06,438 [P7240/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-08-03 13:46:06,531 [P7240/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 8112ms)
 2016-08-03 13:46:12,730 [P7240/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50093/umbraco (UmbracoModule request)
 2016-08-03 13:46:13,072 [P7240/D2/T7] INFO  umbraco.content - Load Xml from file...
 2016-08-03 13:46:13,147 [P7240/D2/T7] INFO  umbraco.content - Loaded Xml from file.
 2016-08-03 13:46:22,228 [P7240/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-08-03 13:46:22,247 [P7240/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 18ms)
 2016-08-03 13:46:51,918 [P7240/D2/T7] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-08-03 13:47:13,493 [P7240/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-08-02 13:47:13
 2016-08-03 13:47:13,841 [P7240/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-08-03 13:47:13,927 [P7240/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 86ms)
 2016-08-03 13:59:08,359 [P8132/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on PHIL-PC
 2016-08-03 13:59:08,444 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-08-03 13:59:08,462 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 15ms)
 2016-08-03 13:59:08,557 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-08-03 13:59:10,156 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1599ms)
 2016-08-03 13:59:10,182 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-08-03 13:59:10,215 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 32ms)
 2016-08-03 13:59:10,216 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-08-03 13:59:10,224 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 8ms)
 2016-08-03 13:59:10,286 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-08-03 13:59:10,358 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 72ms)
 2016-08-03 13:59:10,359 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-08-03 13:59:10,368 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 9ms)
 2016-08-03 13:59:10,995 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-08-03 13:59:11,004 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2016-08-03 13:59:11,005 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-08-03 13:59:11,084 [P8132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 78ms)
 2016-08-03 13:59:16,065 [P8132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:59:17,113 [P8132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:59:17,231 [P8132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-03 13:59:17,604 [P8132/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-08-03 13:59:17,629 [P8132/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-08-03 13:59:17,863 [P8132/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-08-03 13:59:17,883 [P8132/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 9633ms)
 2016-08-03 13:59:21,703 [P8132/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50093/umbraco (UmbracoModule request)
 2016-08-03 13:59:22,037 [P8132/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-08-03 13:59:22,082 [P8132/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-08-03 13:59:30,479 [P8132/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-08-03 13:59:30,498 [P8132/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 19ms)
 2016-08-03 13:59:55,348 [P8132/D2/T10] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-08-03 14:00:22,506 [P8132/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-08-02 14:00:22
 2016-08-03 14:00:25,305 [P8132/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-08-03 14:00:25,428 [P8132/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 123ms)
 2016-08-03 14:00:38,168 [P8132/D2/T5] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-08-03 14:48:55,526 [P8132/D2/T34] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username admin from IP address ::1
 2016-08-03 14:48:55,530 [P8132/D2/T34] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: admin logged in from IP address ::1
 2016-08-03 14:48:55,995 [P8132/D2/T33] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-08-03 14:48:56,002 [P8132/D2/T33] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 12ms)
 2016-08-03 14:48:56,266 [P8132/D2/T25] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-08-03 14:48:56,606 [P8132/D2/T25] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 339ms)
 2016-08-03 14:48:57,114 [P8132/D2/T29] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-08-03 14:48:57,158 [P8132/D2/T29] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 44ms)
 2016-08-03 14:48:57,160 [P8132/D2/T25] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-08-03 14:48:57,160 [P8132/D2/T25] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-08-03 14:48:57,168 [P8132/D2/T25] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-08-03 14:48:57,185 [P8132/D2/T25] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 16ms)
 2016-08-03 14:50:08,023 [P8132/D2/T28] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-08-03 14:50:08,039 [P8132/D2/T28] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 15ms)
 2016-08-03 15:08:27,483 [P8132/D2/T58] INFO  Umbraco.Core.Logging.OwinLogger - Event Id: 0, state: User logged will be logged out due to timeout: admin, IP Address: ::1
 2016-08-03 15:10:23,267 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-08-03 15:10:23,267 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-08-03 15:10:23,267 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-08-03 15:10:23,267 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-08-03 15:10:23,303 [P8132/D2/T38] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-08-03 15:10:23,303 [P8132/D2/T38] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-08-03 15:10:23,341 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-08-03 15:10:23,341 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-08-03 15:10:23,341 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-08-03 15:10:23,341 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-08-03 15:10:23,424 [P8132/D2/T14] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-08-03 15:10:23,425 [P8132/D2/T14] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-08-03 15:10:23,486 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-08-03 15:10:23,486 [P8132/D2/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-08-03 15:10:23,509 [P8132/D2/T53] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-08-03 15:10:34,320 [P8132/D3/T8] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on PHIL-PC
 2016-08-03 15:10:34,460 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-08-03 15:10:34,478 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Hash determined (took 17ms)
 2016-08-03 15:10:34,531 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-08-03 15:10:34,787 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 255ms)
 2016-08-03 15:10:35,547 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-08-03 15:10:35,577 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 29ms)
 2016-08-03 15:10:35,605 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-08-03 15:10:35,653 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 47ms)
 2016-08-03 15:10:35,708 [P8132/D3/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
